RUTA;EQUIPO1;EQUIPO2
pdf\archivos/AA ESPINHO 1 X 3 SL BENFICA.pdf;AA Espinho;SL Benfica
pdf\archivos/AJ FONTE BASTARDO 3 X 0 KAIROS.pdf;AJ Fonte Bastardo;Clube Kairós
pdf\archivos/ESMORIZ GC 3 X 2 LEIXOES SC.pdf;Esmoriz GC;Leixões SC
pdf\archivos/G.C SANTO TIRSO 0 X 3 AAS MAMEDE.pdf;G.C. Santo Tirso;AAS Mamede
pdf\archivos/SC ESPINHO 3 X 2 CASTELO MAIA .pdf;SC Espinho;Castelo Maia GC
pdf\archivos/SD CALDAS 3 X 2 VITORIA SC.pdf;SC Caldas/Aki D'el Mar;Vitória SC
pdf\archivos/VC VIANA 0 X 3 SPORTING CP .pdf;VC Viana-Casa Peixoto;Sporting CP
